n,method,matrix,residual,solution_error,iterations
3,Gaussian,Hilbert,2.220446049250313e-16,1.762179615616027e-14,-
3,Seidel,Hilbert,2.1478436141649466e-07,5.038747968122167e-05,481
4,Gaussian,Hilbert,0.0,1.531093756529614e-13,-
4,Seidel,Hilbert,7.916312640886055e-06,0.061637074018099945,1000
5,Gaussian,Hilbert,0.0,3.0608640212050944e-11,-
5,Seidel,Hilbert,8.679644609618333e-06,0.041317386242986205,1000
6,Gaussian,Hilbert,0.0,7.258142315464692e-10,-
6,Seidel,Hilbert,2.2423907540758883e-06,0.07567370070829808,1000
7,Gaussian,Hilbert,0.0,1.8075199878859888e-08,-
7,Seidel,Hilbert,4.153661427333821e-06,0.10250174046676733,1000
8,Gaussian,Hilbert,1.5700924586837752e-16,8.023442235477183e-07,-
8,Seidel,Hilbert,9.271593296008432e-06,0.11364870742403728,1000
9,Gaussian,Hilbert,4.577566798522237e-16,2.2680085582117246e-05,-
9,Seidel,Hilbert,1.498755689251499e-05,0.11081375498233131,1000
10,Gaussian,Hilbert,1.1102230246251565e-16,0.0009758416381489657,-
10,Seidel,Hilbert,1.972963235886393e-05,0.10149187329553151,1000
11,Gaussian,Hilbert,1.1102230246251565e-16,0.004344110722000916,-
11,Seidel,Hilbert,2.221788160174586e-05,0.09633218068774807,1000
12,Gaussian,Hilbert,1.9229626863835638e-16,0.7149221231696339,-
12,Seidel,Hilbert,2.204144411633522e-05,0.10252775646226768,1000
13,Gaussian,Hilbert,7.850462293418876e-16,10.807097172818192,-
13,Seidel,Hilbert,1.959836597886791e-05,0.11826473942672493,1000
14,Gaussian,Hilbert,3.8459253727671276e-16,2.2583330197775786,-
14,Seidel,Hilbert,1.577598258923426e-05,0.13753292688044336,1000
15,Gaussian,Hilbert,6.473657049138938e-16,21.406484723231124,-
15,Seidel,Hilbert,1.1759585467205405e-05,0.15598165684674567,1000
16,Gaussian,Hilbert,4.619114882301538e-15,122.76118904764279,-
16,Seidel,Hilbert,9.247816018191478e-06,0.17154780729330485,1000
17,Gaussian,Hilbert,5.661048867003676e-16,13.84380837533137,-
17,Seidel,Hilbert,9.997486750192206e-06,0.18352274362999904,1000
18,Gaussian,Hilbert,4.930190325141863e-15,143.53672777705205,-
18,Seidel,Hilbert,1.331478836075416e-05,0.19186991953622246,1000
19,Gaussian,Hilbert,2.016820280180126e-15,43.82211297546416,-
19,Seidel,Hilbert,1.7555570629266455e-05,0.19687783111115226,1000
20,Gaussian,Hilbert,2.149937642474629e-15,79.03233711696505,-
20,Seidel,Hilbert,2.196530308448094e-05,0.19900178683542494,1000
21,Gaussian,Hilbert,1.3414875847488985e-15,76.92993290376961,-
21,Seidel,Hilbert,2.6266505599567017e-05,0.1987953236063167,1000
22,Gaussian,Hilbert,1.4432899320127035e-15,111.0922173017962,-
22,Seidel,Hilbert,3.033232978658945e-05,0.19687911510704123,1000
23,Gaussian,Hilbert,4.0412728104402654e-15,83.06772579064142,-
23,Seidel,Hilbert,3.408204850491729e-05,0.19392121357448386,1000
24,Gaussian,Hilbert,2.4650951625709315e-15,46.308399423964765,-
24,Seidel,Hilbert,3.7450998534608875e-05,0.19061497404631356,1000
25,Gaussian,Hilbert,4.428384475825083e-15,104.67452567375165,-
25,Seidel,Hilbert,4.038385164185722e-05,0.18764693389128695,1000
26,Gaussian,Hilbert,4.256659361141682e-15,288.663413316079,-
26,Seidel,Hilbert,4.2834992172621436e-05,0.18565134075299822,1000
27,Gaussian,Hilbert,1.3394186282845248e-14,348.8905488985866,-
27,Seidel,Hilbert,4.4770439947695665e-05,0.18515438346130056,1000
28,Gaussian,Hilbert,1.1179124461213856e-14,266.53951257050124,-
28,Seidel,Hilbert,4.616942353368466e-05,0.1865197564701264,1000
29,Gaussian,Hilbert,6.978526703090947e-15,148.72953046342028,-
29,Seidel,Hilbert,4.7025098951154336e-05,0.18991334430231155,1000
30,Gaussian,Hilbert,2.7240086067659812e-15,193.68618125407232,-
30,Seidel,Hilbert,4.734444763066903e-05,0.1953017110379477,1000
31,Gaussian,Hilbert,3.612918874134725e-15,137.47646526750702,-
31,Seidel,Hilbert,4.7147579484296846e-05,0.20248577305540216,1000
32,Gaussian,Hilbert,5.471721533801425e-15,212.4770028032151,-
32,Seidel,Hilbert,4.646671541472763e-05,0.21115636477594224,1000
33,Gaussian,Hilbert,5.333694441429199e-15,243.68539683740696,-
33,Seidel,Hilbert,4.534511703677702e-05,0.22095275202915937,1000
34,Gaussian,Hilbert,3.5397838074244373e-14,1626.6466715741485,-
34,Seidel,Hilbert,4.383620940490549e-05,0.2315099942288581,1000
35,Gaussian,Hilbert,2.6517834400543865e-14,1104.8616346726233,-
35,Seidel,Hilbert,4.200312138838015e-05,0.24248994462716902,1000
36,Gaussian,Hilbert,2.2153484374563434e-13,11991.229600362529,-
36,Seidel,Hilbert,3.991884792025355e-05,0.2535973864906477,1000
37,Gaussian,Hilbert,8.013626399180835e-15,351.89919328620414,-
37,Seidel,Hilbert,3.7667198412501425e-05,0.26458554754709496,1000
38,Gaussian,Hilbert,6.295072242294902e-15,344.40208687268057,-
38,Seidel,Hilbert,3.534457797139284e-05,0.2752552278798293,1000
39,Gaussian,Hilbert,2.030888952932061e-14,850.345074042871,-
39,Seidel,Hilbert,3.306232221556376e-05,0.2854506838575843,1000
40,Gaussian,Hilbert,4.9038690498010634e-15,342.8359628860564,-
40,Seidel,Hilbert,3.094854314455917e-05,0.2950542433090144,1000
41,Gaussian,Hilbert,1.0680091596718666e-14,671.4015969815512,-
41,Seidel,Hilbert,2.914701761846323e-05,0.30398074975950384,1000
42,Gaussian,Hilbert,7.971988878370802e-15,276.44398739616486,-
42,Seidel,Hilbert,2.780890544089613e-05,0.31217237496137606,1000
43,Gaussian,Hilbert,4.8424054361127774e-14,3010.566774251171,-
43,Seidel,Hilbert,2.707314417735088e-05,0.3195940186651486,1000
44,Gaussian,Hilbert,2.059156955057807e-15,115.34768637894005,-
44,Seidel,Hilbert,2.7037127729646964e-05,0.32622934646479085,1000
45,Gaussian,Hilbert,6.045365714718357e-15,325.70654152778434,-
45,Seidel,Hilbert,2.773049499333516e-05,0.3320774353748299,1000
46,Gaussian,Hilbert,2.2697477280876327e-14,1350.6059890628492,-
46,Seidel,Hilbert,2.910957158923354e-05,0.337149963424364,1000
47,Gaussian,Hilbert,4.837108066691834e-14,2173.5877570314597,-
47,Seidel,Hilbert,3.107689348216581e-05,0.34146886999691034,1000
48,Gaussian,Hilbert,4.236341062022511e-15,263.4643675616837,-
48,Seidel,Hilbert,3.351188945092177e-05,0.3450644152344771,1000
49,Gaussian,Hilbert,2.8363319374749828e-14,1679.1812280139663,-
49,Seidel,Hilbert,3.6296009095262364e-05,0.3479735734426954,1000
50,Gaussian,Hilbert,1.1668438707063127e-14,511.2145508418809,-
50,Seidel,Hilbert,3.932594087082998e-05,0.3502387031648985,1000
